id;url;title;date_modified
74-20071956;https://yle.fi/a/74-20071956;Sotapuhe kasvaa Britanniassa – kansa halutaan varustaa sotaan, Yhdysvalloista tuodaan ydinaseita;30.1.2024 8:06
74-20071996;https://yle.fi/a/74-20071996;Tutkijat erimielisiä Naton ydinasepelotteesta – Siprin tutkijan mukaan keskustelu pelotteesta on ”karannut käsistä”;30.1.2024 10:20
74-20072013;https://yle.fi/a/74-20072013;Tutkimus: Suomella on liikkumavaraa Naton ydinasepelotepolitiikkaan osallistumisessa;30.1.2024 11:01
74-20071587;https://yle.fi/a/74-20071587;Ronja Salmen kolumni: Puolustusvoimilla kesti 17 vuotta rakentaa lomake, jolla seurataan vaaratilanteita;31.1.2024 6:45
74-20072280;https://yle.fi/a/74-20072280;Puolustusvoimien uusi komentaja Janne Jaakkola Ylelle: Vastuu vain korostuu haastavassa tilanteessa;31.1.2024 13:46
74-20072311;https://yle.fi/a/74-20072311;Sanna Marin, Hillary Clinton, Boris Johnson kansainväliseen ohjausryhmään kaitsemaan Ukrainaa Nato-kelpoiseksi;31.1.2024 14:45
74-20071500;https://yle.fi/a/74-20071500;Sotapuheet tulivat Ruotsissa koteihin ja kouluihin – Suomen sotien historiaa on ruotsalaistenkin dna:ssa;31.1.2024 18:20
74-20072557;https://yle.fi/a/74-20072557;HS: Suomi haluaa Naton ilmavalvontatehtäviin Romaniaan – osa ilmavoimien koulutuksesta siirtyisi mukana;1.2.2024 16:16
74-20072437;https://yle.fi/a/74-20072437;Tämä kuvapari tiivistää Euroopan tunnelmat juuri nyt – tutkija kertoo, miksi frakkipukuinen Macron suututtaa;1.2.2024 17:38
74-20072600;https://yle.fi/a/74-20072600;Neljä huippukohtaa Stubbin ja Haaviston presidenttiväittelystä;1.2.2024 22:40
74-20072585;https://yle.fi/a/74-20072585;Analyysi: Pekka Haavisto kehui Olli Rehniä – Alexander Stubb toivoi Riikka Purralle talousonnea;1.2.2024 23:30
74-20072606;https://yle.fi/a/74-20072606;Reipas ennakkoäänestystahti jatkuu Etelä-Karjalassa – viidesosa on jo antanut äänensä;2.2.2024 7:12
74-20072617;https://yle.fi/a/74-20072617;Reipas ennakkoäänestystahti jatkuu Kaakkois-Suomessa – viidesosa on jo antanut äänensä;2.2.2024 7:49
74-20071930;https://yle.fi/a/74-20071930;Turkin Erdoğan uhosi vielä hetki sitten ohjusiskuilla Ateenaan, nyt hän puhuu rauhasta verivihollisen kanssa – mikä muuttui?;2.2.2024 9:47
74-20072629;https://yle.fi/a/74-20072629;Ehdokaskaksikon niukka kannatusero kuului Ylen presidenttiväittelyssä – näin asiantuntijat analysoivat kohtaamista;2.2.2024 11:06
74-20072624;https://yle.fi/a/74-20072624;Asiantuntija: Ukrainan tavoite on ”massiivinen” ja lännen pitäisi kertoa hyvissä ajoin, halutaanko siihen sitoutua;2.2.2024 11:23
74-20072639;https://yle.fi/a/74-20072639;”Osoitus tahtotilasta tukea Naton pelotetta laajasti”, sanoo tutkija – kahdeksan suomalaishävittäjää lähdössä Kaakkois-Eurooppaan;2.2.2024 11:32
74-20072762;https://yle.fi/a/74-20072762;Reservistä eronneiden määrä räjähti kasvuun – puolustusministeri Häkkänen lieventää puheitaan;2.2.2024 16:12
74-20072731;https://yle.fi/a/74-20072731;Katso perjantain viisi pääuutista;2.2.2024 20:30
74-20072804;https://yle.fi/a/74-20072804;Näin Stubbin ja Haaviston ulkoministerikaudet erosivat – kaksi kokenutta diplomaattia kertoo omat suosikkinsa presidentiksi;3.2.2024 5:48
74-20072807;https://yle.fi/a/74-20072807;Näin Viimeisessä sanassa arvioitiin presidentinvaalien tabuja: Niinistö, Nato ja kansan yhdistäminen;3.2.2024 9:32
74-20072307;https://yle.fi/a/74-20072307;Kari Enqvistin kolumni: Aiemmin haukuttu poliitikko muuttuu presidentin virassa erehtymättömäksi tietäjäksi;5.2.2024 6:45
74-20072964;https://yle.fi/a/74-20072964;Viidessä päivässä yli 670 hakenut eroa reservistä – myös Aseistakieltäytyjäliiton sivuilla hurja piikki;5.2.2024 11:34
74-20072465;https://yle.fi/a/74-20072465;Katso kirjeenvaihtajien arvio Haaviston ja Stubbin suhteista maailman kärkipoliitikkoihin;5.2.2024 16:59
74-20073056;https://yle.fi/a/74-20073056;Suomalainen väestönsuojelu alkoi kiinnostaa maailmalla – sen jälkeen Helsingin suojien korjaukseen tuli vauhtia;6.2.2024 7:54
74-20073138;https://yle.fi/a/74-20073138;Reservistä on hakenut eroa lähes 700 ihmistä viikon aikana – eroamiseen liittyy myös poliittista protestointia, sanoo asiantuntija;6.2.2024 10:01
74-20073277;https://yle.fi/a/74-20073277;Naton suurharjoitus kuuluu Lapin taivaalla ja näkyy liikenneruuhkina tunturikeskusten liepeillä;6.2.2024 17:09
74-20073173;https://yle.fi/a/74-20073173;Suomella on valmiina satoja salaisia bunkkereita sotaa varten – katso ainutlaatuinen video;6.2.2024 20:25
74-20073305;https://yle.fi/a/74-20073305;Stubb: Välillä ydinase on rauhan tae;6.2.2024 20:26
74-20073315;https://yle.fi/a/74-20073315;Presidentti Sauli Niinistö julistaa viimeisen kerran valtiopäivät avatuiksi;7.2.2024 4:38
74-20073425;https://yle.fi/a/74-20073425;Remontissa oleva kansallismuseo vierailee näyttelyillä eri puolilla Suomea – aarteet tulevat ensin Tornioon;7.2.2024 15:18
74-20072470;https://yle.fi/a/74-20072470;Näin Stubb ja Haavisto tunnistetaan maailmalla – katso reaktiot Keniasta Moskovaan;7.2.2024 16:31
74-20073432;https://yle.fi/a/74-20073432;Tänä vuonna jo yli tuhat on lähtenyt reservistä – kysyimme heiltä miksi;7.2.2024 19:54
74-20073501;https://yle.fi/a/74-20073501;Stubbin ja Haaviston välille löytyi viimein eroa: MTV:n vaaliväittelyssä eniten kipinää syntyi eduskunnan Nato-laista ja ydinaseista;7.2.2024 20:40
74-20073540;https://yle.fi/a/74-20073540;Ykkösaamussa politiikan tutkija Johanna Rainio-Niemi – mitä haluat kysyä häneltä?;8.2.2024 13:22
74-20073715;https://yle.fi/a/74-20073715;Neljä huippukohtaa Stubbin ja Haaviston viimeisestä presidenttiväittelystä;8.2.2024 23:39
74-20073701;https://yle.fi/a/74-20073701;Analyysi: Haavisto jakeli nopeita jabeja Stubbille, joka syleili vastaehdokkaan kuoliaaksi kehuilla;9.2.2024 1:02
74-20073508;https://yle.fi/a/74-20073508;Super Bowl ja Taylor Swiftin vaalikihlaus – malliesimerkki salaliittoteoriasta kiehuttaa nyt Yhdysvaltain oikeistoa;9.2.2024 5:20
74-20073729;https://yle.fi/a/74-20073729;Putin antoi kiistanalaisen haastattelun kohujuontaja Carlsonille: Meitä ei kiinnosta hyökätä Puolaan tai Latviaan;9.2.2024 6:09
74-20073367;https://yle.fi/a/74-20073367;Erityinen keskittymiskyky vei tarkkiksen taiteilijapojan erikoisjoukkojen sotilaaksi;9.2.2024 11:03
74-20073850;https://yle.fi/a/74-20073850;Uutta tietoa itärajan tilkitsemisestä: pysyvä aita saattaa olla aiottua pidempi;9.2.2024 16:15
74-20073371;https://yle.fi/a/74-20073371;Onko vaikeaa valita Stubbin ja Haaviston välillä? Tässä viisi asiaa, jotka voivat auttaa;10.2.2024 6:00
74-20073901;https://yle.fi/a/74-20073901;Suomi joutuu miettimään uutta Venäjä-suhdetta jo tulevan presidentin kaudella, arvioi politiikan tutkija Johanna Rainio-Niemi;10.2.2024 8:04
74-20073934;https://yle.fi/a/74-20073934;Suomi saa joko Nato- tai YK-presidentin, sanoo Iltalehden Lauri Nurmi;10.2.2024 9:30
74-20073902;https://yle.fi/a/74-20073902;Analyysi: Miksi Stubb sallisi ydinaseet Suomessa – ja Haavisto ottaisi puhelun Putinilta? Älä usko tekoälyn vastauksia;10.2.2024 15:01
74-20073573;https://yle.fi/a/74-20073573;Vaalipullat odottavat jo äänestäjiä Maunulan majassa – asiantuntijat listaavat syyt hyvin korkealle äänestysprosentille;11.2.2024 7:30
74-20073182;https://yle.fi/a/74-20073182;Stubb vai Haavisto? Nämä jutut lukemalla löydät eroja ehdokkaiden välillä, mikäli äänestyspäätös vielä pohdituttaa;11.2.2024 7:46
74-20074020;https://yle.fi/a/74-20074020;Naton pääsihteeri puuttui Trumpin puheisiin: ”Asettaa eurooppalaiset ja amerikkalaiset sotilaat vaaraan”;11.2.2024 16:56
74-20074035;https://yle.fi/a/74-20074035;Ulkomainen media pitää tulevan presidentin tärkeimpänä tehtävänä Suomen luotsaamista Natossa;11.2.2024 19:32
74-20074041;https://yle.fi/a/74-20074041;He onnittelivat Alexander Stubbia: ”Arvostan hänen vankkaa tukeansa Ukrainalle”, sanoi Zelenskyi, Macron tviittasi suomeksi;11.2.2024 21:40
74-20074017;https://yle.fi/a/74-20074017;Analyysi: Orpon ratkaisu kouraisi aikoinaan Stubbia – nyt punnitaan, kuinka yhtenäinen on ”kokoomuksen kolmikko”;11.2.2024 21:53
74-20074051;https://yle.fi/a/74-20074051;Hybridivaikuttaminen ei näkynyt presidentinvaaleissa, arvioivat asiantuntijat;11.2.2024 22:06
74-20074056;https://yle.fi/a/74-20074056;Irak ja Yhdysvallat taas puheissa ulkomaisten joukkojen vetäytymisen aikataulusta;11.2.2024 23:54
74-20074055;https://yle.fi/a/74-20074055;Sivari saattoi viedä Haaviston saumat pärjätä itärajalla: ”Täällä on maanpuolustushenki aika korkealla”;12.2.2024 7:15
74-20073779;https://yle.fi/a/74-20073779;Näin Alexander Stubbista tuli presidentti;12.2.2024 7:30
74-20074086;https://yle.fi/a/74-20074086;Ilon ja pettymyksen hetkiä Rovaniemen vaalivalvojaisissa – lappilaiset keskeisessä roolissa Suomen Nato-jäsenyyden ja DCA-sopimuksen vuoksi;12.2.2024 8:51
74-20074076;https://yle.fi/a/74-20074076;Ankara Venäjä-kriitikko ja Eurooppa-myönteinen narsisti – näin venäläismedia kuvailee Suomen tulevaa presidenttiä;12.2.2024 11:17
74-20074140;https://yle.fi/a/74-20074140;Stubbin tokaisu Donald Trumpista herätti huomion – tässä tärkeimmät tulevan tasavallan presidentin ensimmäisestä esiintymisestä;12.2.2024 12:12
